Date,ATM_IV,VIX
2025-09-24,15.51,20.68
2025-09-25,15.86,21.15
2025-09-26,16.04,21.39
2025-09-29,16.59,22.12
2025-09-30,16.8,22.4
2025-10-01,16.74,22.32
2025-10-02,16.45,21.93
2025-10-03,15.87,21.16
2025-10-06,15.9,21.2
2025-10-07,15.76,21.01
2025-10-08,16.52,22.03
2025-10-09,16.2,21.6
2025-10-10,16.26,21.68
2025-10-13,15.56,20.75
2025-10-14,15.36,20.48
2025-10-15,15.42,20.56
2025-10-16,15.71,20.95
2025-10-17,16.24,21.65
2025-10-20,16.15,21.53
2025-10-21,15.64,20.85
2025-10-22,15.78,21.04
2025-10-23,15.93,21.24
2025-10-24,16.07,21.43
2025-10-27,15.73,20.97
2025-10-28,16.13,21.51
2025-10-29,16.1,21.47
2025-10-30,16.32,21.76
2025-10-31,16.76,22.35
2025-11-03,16.92,22.56
2025-11-04,16.94,22.59
2025-11-05,17.72,23.63
2025-11-06,17.7,23.6
2025-11-07,17.47,23.29
2025-11-10,17.41,23.21
2025-11-11,17.9,23.87
2025-11-12,17.83,23.77
2025-11-13,17.93,23.91
2025-11-14,18.29,24.39
2025-11-17,17.95,23.93
2025-11-18,17.15,22.87
2025-11-19,17.17,22.89
2025-11-20,17.17,22.89
2025-11-21,16.83,22.44
2025-11-24,17.09,22.79
2025-11-25,17.24,22.99
2025-11-26,16.75,22.33
2025-11-27,16.87,22.49
2025-11-28,16.71,22.28
2025-12-01,16.03,21.37
2025-12-02,16.15,21.53
2025-12-03,16.07,21.43
2025-12-04,15.71,20.95
2025-12-05,15.87,21.16
2025-12-08,16.01,21.35
2025-12-09,15.72,20.96
2025-12-10,15.83,21.11
2025-12-11,16.18,21.57
2025-12-12,15.83,21.11
2025-12-15,15.92,21.23
2025-12-16,15.87,21.16
2025-12-17,16.72,22.29
2025-12-18,15.89,21.19
2025-12-19,16.11,21.48
2025-12-22,15.93,21.24
2025-12-23,15.83,21.11
2025-12-24,16.53,22.04
2025-12-25,16.45,21.93
2025-12-26,17.28,23.04
2025-12-29,17.0,22.67
2025-12-30,17.05,22.73
2025-12-31,16.76,22.35
2026-01-01,16.41,21.88
2026-01-02,16.36,21.81
2026-01-05,16.17,21.56
2026-01-06,16.19,21.59
2026-01-07,15.28,20.37
2026-01-08,16.05,21.4
2026-01-09,15.92,21.23
2026-01-12,16.56,22.08
2026-01-13,16.08,21.44
2026-01-14,16.13,21.51
2026-01-15,17.33,23.11
2026-01-16,16.89,22.52
2026-01-19,16.2,21.6
2026-01-20,15.92,21.23
2026-01-21,16.05,21.4
2026-01-22,16.26,21.68
2026-01-23,16.71,22.28
2026-01-26,16.53,22.04
2026-01-27,15.81,21.08
2026-01-28,15.58,20.77
2026-01-29,16.03,21.37
2026-01-30,16.16,21.55
2026-02-02,15.31,20.41
2026-02-03,15.26,20.35
2026-02-04,15.78,21.04
2026-02-05,16.57,22.09
2026-02-06,16.72,22.29
2026-02-09,16.76,22.35
2026-02-10,16.19,21.59
2026-02-11,15.78,21.04
2026-02-12,15.75,21.0
2026-02-13,15.9,21.2
2026-02-16,16.07,21.43
2026-02-17,15.82,21.09
2026-02-18,15.3,20.4
2026-02-19,14.95,19.93
2026-02-20,14.46,19.28
2026-02-23,14.7,19.6
2026-02-24,13.76,18.35
2026-02-25,13.63,18.17
2026-02-26,13.82,18.43
2026-02-27,14.44,19.25
2026-03-02,14.45,19.27
2026-03-03,14.84,19.79
2026-03-04,14.66,19.55
2026-03-05,14.34,19.12
2026-03-06,14.06,18.75
2026-03-09,15.46,20.61
