Timestamp,Spot,VIX,PCR_Full,PCR_Local,PCR_Signal,MaxPain,Resistance,Support,WeightedScore,RawOIScore,Bias,RSI,VWAP,TechSignal,Score,Unanimous,Taken,SkipReason,TradesToday,Rec1,Rec2,Rec3,PCR_Bands,ATM_IV,IVR,IVP,IV_Skew_Pct,IV_Skew_Dir,PCR_Weekly,PCR_Monthly,PCR_EMA20,PCR_VWAP,PCR_Divergence,PCR_DivSignal,DayScore,DayLabel,TimeWindow,DTE_Weekly,DTE_Monthly,Strategy,StrategyType,Conviction
11-Mar-2026 17:43:45,48483.66,20.5,1.116,1.12,SELL,48500.0,48500,49500,-3977056406,-116496,NEUTRAL,warming,warming,NEUTRAL,39,False,False,Score 39/100 < min 55,1,48500CE@179.0,48500PE@177.6,48600CE@90.6,0.8/1.2,14.38,45.2,32.1,1.03,BALANCED,,,1.114,1.1142,,NEUTRAL,53,Best Day,Off-Hours,0,15,Iron Condor,SELL,LOW
11-Mar-2026 17:43:46,48451.92,20.5,1.125,1.128,SELL,48500.0,48700,49200,-757410889,-64717,NEUTRAL,warming,warming,NEUTRAL,39,False,False,Score 39/100 < min 55,1,48500CE@182.7,48500PE@179.1,48600CE@91.8,0.8/1.2,14.23,43.1,31.0,1.03,BALANCED,,,1.1153,1.1153,,NEUTRAL,53,Best Day,Off-Hours,0,15,Iron Condor,SELL,LOW
11-Mar-2026 17:43:47,48430.68,20.5,1.132,1.128,SELL,48400.0,48600,47900,4720476007,132054,BEARISH,warming,warming,NEUTRAL,53,False,False,Score 53/100 < min 55,1,48500PE@182.3,48400PE@178.7,48300PE@91.8,0.8/1.2,14.29,43.9,31.0,-0.27,BALANCED,,,1.1166,1.1163,,NEUTRAL,53,Best Day,Off-Hours,0,15,Long Put,BUY,LOW
11-Mar-2026 17:43:48,48403.1,20.5,1.129,1.164,SELL,48400.0,48900,47400,2502782328,66057,BEARISH,warming,warming,NEUTRAL,67,True,False,Too soon after last trade (0min < 45min gap),1,48500PE@180.5,48400PE@177.5,48300PE@87.6,0.8/1.2,13.93,38.9,27.4,-0.34,BALANCED,,,1.1211,1.1198,,NEUTRAL,53,Best Day,Off-Hours,0,15,Long Put,BUY,LOW
11-Mar-2026 17:43:49,48421.83,20.5,1.118,1.119,SELL,48400.0,49300,47800,6394046111,100713,BEARISH,34.63,48515.49,BEARISH,56,False,False,Too soon after last trade (0min < 45min gap),1,48500PE@178.2,48400PE@178.2,48300PE@88.6,0.8/1.2,13.95,39.2,28.6,-0.28,BALANCED,,,1.1209,1.1197,,NEUTRAL,53,Best Day,Off-Hours,0,15,Long Put,BUY,LOW
11-Mar-2026 17:43:51,48400.9,20.5,1.131,1.119,SELL,48400.0,48300,47600,-4402712862,-36044,BEARISH,32.29,48508.33,BEARISH,64,False,False,Too soon after last trade (0min < 45min gap),1,48500PE@179.4,48400PE@181.7,48300PE@91.1,0.8/1.2,13.72,35.9,24.2,-0.33,BALANCED,,,1.1207,1.1197,,NEUTRAL,53,Best Day,Off-Hours,0,15,Long Put,BUY,LOW
11-Mar-2026 17:43:52,48414.23,20.5,1.158,1.156,SELL,48500.0,47700,48100,-1513572315,-47623,NEUTRAL,35.29,48502.8,NEUTRAL,40,False,False,Score 40/100 < min 55,1,48500CE@90.1,48500PE@180.4,48600CE@1.0,0.8/1.2,14.0,39.9,28.6,-0.35,BALANCED,,,1.1241,1.1219,,NEUTRAL,53,Best Day,Off-Hours,0,15,Iron Condor,SELL,LOW
11-Mar-2026 17:43:53,48413.27,20.5,1.114,1.113,SELL,48400.0,49400,49300,7967661831,149257,BEARISH,35.17,48497.82,NEUTRAL,58,True,False,Too soon after last trade (0min < 45min gap),1,48500PE@180.9,48400PE@179.4,48300PE@93.0,0.8/1.2,13.55,33.5,23.4,-0.27,BALANCED,,,1.123,1.1214,,NEUTRAL,53,Best Day,Off-Hours,0,15,Long Put,BUY,LOW
11-Mar-2026 17:43:54,48460.85,20.5,1.104,1.103,SELL,48500.0,49200,48300,-130423523,-9105,NEUTRAL,45.19,48495.88,NEUTRAL,38,False,False,Score 38/100 < min 55,1,48500CE@180.5,48500PE@180.5,48600CE@89.8,0.8/1.2,13.52,33.1,23.4,0.94,BALANCED,,,1.1211,1.1204,,NEUTRAL,53,Best Day,Off-Hours,0,15,Iron Condor,SELL,LOW
11-Mar-2026 17:43:55,48455.14,20.5,1.119,1.118,SELL,48500.0,48600,47700,-2810755384,-4228,NEUTRAL,44.31,48493.84,NEUTRAL,39,False,False,Score 39/100 < min 55,1,48500CE@180.8,48500PE@182.6,48600CE@89.4,0.8/1.2,13.46,32.3,23.4,1.06,BALANCED,,,1.1208,1.1203,,NEUTRAL,53,Best Day,Off-Hours,0,15,Iron Condor,SELL,LOW
