Date,ATM_IV,VIX
2025-08-13,16.13,21.51
2025-08-14,15.62,20.83
2025-08-15,15.51,20.68
2025-08-18,16.03,21.37
2025-08-19,16.3,21.73
2025-08-20,16.5,22.0
2025-08-21,15.48,20.64
2025-08-22,15.72,20.96
2025-08-25,15.89,21.19
2025-08-26,15.61,20.81
2025-08-27,15.31,20.41
2025-08-28,15.27,20.36
2025-08-29,15.92,21.23
2025-09-01,15.44,20.59
2025-09-02,15.23,20.31
2025-09-03,15.74,20.99
2025-09-04,15.51,20.68
2025-09-05,15.32,20.43
2025-09-08,15.32,20.43
2025-09-09,14.78,19.71
2025-09-10,14.84,19.79
2025-09-11,14.34,19.12
2025-09-12,14.68,19.57
2025-09-15,14.66,19.55
2025-09-16,15.55,20.73
2025-09-17,15.62,20.83
2025-09-18,16.12,21.49
2025-09-19,15.53,20.71
2025-09-22,15.44,20.59
2025-09-23,15.52,20.69
2025-09-24,16.18,21.57
2025-09-25,15.44,20.59
2025-09-26,15.79,21.05
2025-09-29,15.97,21.29
2025-09-30,16.53,22.04
2025-10-01,16.74,22.32
2025-10-02,16.68,22.24
2025-10-03,16.39,21.85
2025-10-06,15.82,21.09
2025-10-07,15.84,21.12
2025-10-08,15.71,20.95
2025-10-09,16.47,21.96
2025-10-10,16.15,21.53
2025-10-13,16.21,21.61
2025-10-14,15.52,20.69
2025-10-15,15.31,20.41
2025-10-16,15.38,20.51
2025-10-17,15.67,20.89
2025-10-20,16.2,21.6
2025-10-21,16.11,21.48
2025-10-22,15.6,20.8
2025-10-23,15.74,20.99
2025-10-24,15.89,21.19
2025-10-27,16.03,21.37
2025-10-28,15.69,20.92
2025-10-29,16.09,21.45
2025-10-30,16.07,21.43
2025-10-31,16.28,21.71
2025-11-03,16.72,22.29
2025-11-04,16.89,22.52
2025-11-05,16.91,22.55
2025-11-06,17.69,23.59
2025-11-07,17.68,23.57
2025-11-10,17.45,23.27
2025-11-11,17.39,23.19
2025-11-12,17.88,23.84
2025-11-13,17.81,23.75
2025-11-14,17.9,23.87
2025-11-17,18.27,24.36
2025-11-18,17.93,23.91
2025-11-19,17.12,22.83
2025-11-20,17.15,22.87
2025-11-21,17.15,22.87
2025-11-24,16.81,22.41
2025-11-25,17.07,22.76
2025-11-26,17.22,22.96
2025-11-27,16.73,22.31
2025-11-28,16.85,22.47
2025-12-01,16.69,22.25
2025-12-02,16.02,21.36
2025-12-03,16.14,21.52
2025-12-04,16.06,21.41
2025-12-05,15.7,20.93
2025-12-08,15.85,21.13
2025-12-09,15.99,21.32
2025-12-10,15.7,20.93
2025-12-11,15.81,21.08
2025-12-12,16.16,21.55
2025-12-15,15.81,21.08
2025-12-16,15.91,21.21
2025-12-17,15.86,21.15
2025-12-18,16.71,22.28
2025-12-19,15.88,21.17
2025-12-22,16.1,21.47
2025-12-23,15.92,21.23
2025-12-24,15.82,21.09
2025-12-25,16.52,22.03
2025-12-26,16.45,21.93
2025-12-29,17.27,23.03
2025-12-30,16.99,22.65
2025-12-31,17.04,22.72
2026-01-01,16.76,22.35
2026-01-02,16.4,21.87
2026-01-05,16.35,21.8
2026-01-06,16.17,21.56
2026-01-07,16.18,21.57
2026-01-08,15.28,20.37
2026-01-09,16.04,21.39
2026-01-12,15.91,21.21
2026-01-13,16.55,22.07
2026-01-14,16.07,21.43
2026-01-15,16.13,21.51
2026-01-16,17.33,23.11
2026-01-19,16.88,22.51
2026-01-20,16.2,21.6
2026-01-21,15.91,21.21
2026-01-22,16.04,21.39
2026-01-23,16.26,21.68
2026-01-26,16.71,22.28
2026-01-27,16.52,22.03
2026-01-28,15.81,21.08
2026-01-29,15.58,20.77
2026-01-30,16.03,21.37
2026-02-02,16.15,21.53
2026-02-03,15.31,20.41
2026-02-04,15.25,20.33
2026-02-05,15.77,21.03
2026-02-06,16.57,22.09
2026-02-09,16.72,22.29
2026-02-10,16.76,22.35
2026-02-11,16.18,21.57
2026-02-12,15.78,21.04
2026-02-13,15.74,20.99
2026-02-16,15.89,21.19
2026-02-17,16.07,21.43
2026-02-18,15.82,21.09
2026-02-19,15.3,20.4
2026-02-20,14.95,19.93
2026-02-23,14.46,19.28
2026-02-24,14.7,19.6
2026-02-25,13.76,18.35
2026-02-26,13.63,18.17
2026-02-27,13.82,18.43
2026-03-02,14.44,19.25
2026-03-03,14.45,19.27
2026-03-04,14.84,19.79
2026-03-05,14.65,19.53
2026-03-06,14.34,19.12
2026-03-09,14.06,18.75
2026-03-10,11.25,15.0
